Issue,Description,text
iPad Pro battery percentage stuck,Customer's iPad Pro 12.9-inch purchased in November 2021 is experiencing the battery percentage being stuck. They are located in Portland and use Comcast as their internet provider.,"###Human:
generate a detailed description prompt for iPad Pro battery percentage stuck

###Assistant:
Customer's iPad Pro 12.9-inch purchased in November 2021 is experiencing the battery percentage being stuck. They are located in Portland and use Comcast as their internet provider."
Apple Watch not unlocking Mac,Customer's Apple Watch Series 7 purchased in October 2023 is not unlocking their Mac. They live in Miami and have Cox Communications as their internet provider.,"###Human:
generate a detailed description prompt for Apple Watch not unlocking Mac

###Assistant:
Customer's Apple Watch Series 7 purchased in October 2023 is not unlocking their Mac. They live in Miami and have Cox Communications as their internet provider."
MacBook Pro screen flickering,Customer's MacBook Pro 16-inch purchased in March 2022 is experiencing screen flickering. They reside in San Francisco and have Comcast as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro screen flickering

###Assistant:
Customer's MacBook Pro 16-inch purchased in March 2022 is experiencing screen flickering. They reside in San Francisco and have Comcast as their internet provider."
iPad Pro keyboard not working,Customer's iPad Pro 11-inch purchased in September 2021 is facing issues with the keyboard not working. They are located in Denver and use AT&T as their internet provider.,"###Human:
generate a detailed description prompt for iPad Pro keyboard not working

###Assistant:
Customer's iPad Pro 11-inch purchased in September 2021 is facing issues with the keyboard not working. They are located in Denver and use AT&T as their internet provider."
Apple Music skipping songs,Customer's Apple Music is skipping songs on their iPhone 11 Pro purchased in July 2020. They live in Orlando and are connected to the internet via Spectrum.,"###Human:
generate a detailed description prompt for Apple Music skipping songs

###Assistant:
Customer's Apple Music is skipping songs on their iPhone 11 Pro purchased in July 2020. They live in Orlando and are connected to the internet via Spectrum."
FaceTime calls dropping,Customer's FaceTime calls are dropping frequently on their iPhone 12 purchased in November 2022. They are located in Phoenix and have Cox Communications as their internet provider.,"###Human:
generate a detailed description prompt for FaceTime calls dropping

###Assistant:
Customer's FaceTime calls are dropping frequently on their iPhone 12 purchased in November 2022. They are located in Phoenix and have Cox Communications as their internet provider."
iCloud backup taking too long,Customer's iCloud backup is taking too long to complete on their iPad Air 4 purchased in December 2022. They reside in Houston and are connected to the internet via Verizon.,"###Human:
generate a detailed description prompt for iCloud backup taking too long

###Assistant:
Customer's iCloud backup is taking too long to complete on their iPad Air 4 purchased in December 2022. They reside in Houston and are connected to the internet via Verizon."
Apple Watch not pairing with iPhone,Customer's Apple Watch Series 7 purchased in October 2023 is not pairing with their iPhone 13 purchased in November 2023. They live in Los Angeles and have AT&T as their internet provider.,"###Human:
generate a detailed description prompt for Apple Watch not pairing with iPhone

###Assistant:
Customer's Apple Watch Series 7 purchased in October 2023 is not pairing with their iPhone 13 purchased in November 2023. They live in Los Angeles and have AT&T as their internet provider."
iPhone not connecting to cellular network,Customer's iPhone 11 purchased in May 2021 is not connecting to the cellular network. They are located in Boston and use Comcast as their internet provider.,"###Human:
generate a detailed description prompt for iPhone not connecting to cellular network

###Assistant:
Customer's iPhone 11 purchased in May 2021 is not connecting to the cellular network. They are located in Boston and use Comcast as their internet provider."
MacBook Pro stuck on Apple logo,Customer's MacBook Pro 14-inch purchased in June 2023 is stuck on the Apple logo during startup. They reside in Atlanta and have Xfinity as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro stuck on Apple logo

###Assistant:
Customer's MacBook Pro 14-inch purchased in June 2023 is stuck on the Apple logo during startup. They reside in Atlanta and have Xfinity as their internet provider."
iPad Pro charging slowly,Customer's iPad Pro 12.9-inch purchased in November 2021 is charging slowly. They are located in Portland and use Comcast as their internet provider.,"###Human:
generate a detailed description prompt for iPad Pro charging slowly

###Assistant:
Customer's iPad Pro 12.9-inch purchased in November 2021 is charging slowly. They are located in Portland and use Comcast as their internet provider."
Apple TV remote buttons not responding,Customer's Apple TV HD purchased in September 2021 is experiencing issues with the remote buttons not responding. They reside in Las Vegas and have Cox Communications as their internet provider.,"###Human:
generate a detailed description prompt for Apple TV remote buttons not responding

###Assistant:
Customer's Apple TV HD purchased in September 2021 is experiencing issues with the remote buttons not responding. They reside in Las Vegas and have Cox Communications as their internet provider."
iTunes Store app not available in region,Customer's iTunes Store app is not available in their region on their iPhone 12 Pro Max purchased in August 2022. They are located in Minneapolis and use CenturyLink as their internet provider.,"###Human:
generate a detailed description prompt for iTunes Store app not available in region

###Assistant:
Customer's iTunes Store app is not available in their region on their iPhone 12 Pro Max purchased in August 2022. They are located in Minneapolis and use CenturyLink as their internet provider."
iPhone unable to connect to Wi-Fi network,Customer's iPhone SE 2nd Gen purchased in January 2022 is unable to connect to a Wi-Fi network. They live in Houston and are connected to the internet via Verizon.,"###Human:
generate a detailed description prompt for iPhone unable to connect to Wi-Fi network

###Assistant:
Customer's iPhone SE 2nd Gen purchased in January 2022 is unable to connect to a Wi-Fi network. They live in Houston and are connected to the internet via Verizon."
MacBook Pro running slow after macOS update,Customer's MacBook Pro 13-inch purchased in March 2022 is running slow after a macOS update. They reside in Austin and have Spectrum as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro running slow after macOS update

###Assistant:
Customer's MacBook Pro 13-inch purchased in March 2022 is running slow after a macOS update. They reside in Austin and have Spectrum as their internet provider."
iPad Pro overheating,Customer's iPad Pro 11-inch purchased in April 2022 is overheating. They are located in San Antonio and use Verizon Fios as their internet provider.,"###Human:
generate a detailed description prompt for iPad Pro overheating

###Assistant:
Customer's iPad Pro 11-inch purchased in April 2022 is overheating. They are located in San Antonio and use Verizon Fios as their internet provider."
Apple TV not showing up on network,Customer's Apple TV 4K purchased in February 2022 is not showing up on the network. They reside in Milwaukee and are connected to the internet via AT&T.,"###Human:
generate a detailed description prompt for Apple TV not showing up on network

###Assistant:
Customer's Apple TV 4K purchased in February 2022 is not showing up on the network. They reside in Milwaukee and are connected to the internet via AT&T."
iTunes Store purchase history missing,Customer's iTunes Store purchase history is missing on their MacBook Pro 16-inch purchased in July 2023. They are located in Kansas City and use Spectrum as their internet provider.,"###Human:
generate a detailed description prompt for iTunes Store purchase history missing

###Assistant:
Customer's iTunes Store purchase history is missing on their MacBook Pro 16-inch purchased in July 2023. They are located in Kansas City and use Spectrum as their internet provider."
iPhone speaker crackling,Customer's iPhone 13 Pro purchased in December 2022 is experiencing speaker crackling. They live in Sacramento and have AT&T as their internet provider.,"###Human:
generate a detailed description prompt for iPhone speaker crackling

###Assistant:
Customer's iPhone 13 Pro purchased in December 2022 is experiencing speaker crackling. They live in Sacramento and have AT&T as their internet provider."
MacBook Pro trackpad gestures not working,Customer's MacBook Pro 13-inch purchased in April 2021 is experiencing issues with trackpad gestures not working. They reside in San Antonio and have Verizon Fios as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro trackpad gestures not working

###Assistant:
Customer's MacBook Pro 13-inch purchased in April 2021 is experiencing issues with trackpad gestures not working. They reside in San Antonio and have Verizon Fios as their internet provider."
iPad Pro screen rotation not working,Customer's iPad Pro 12.9-inch purchased in November 2021 is facing issues with screen rotation not working. They are located in Portland and use Comcast as their internet provider.,"###Human:
generate a detailed description prompt for iPad Pro screen rotation not working

###Assistant:
Customer's iPad Pro 12.9-inch purchased in November 2021 is facing issues with screen rotation not working. They are located in Portland and use Comcast as their internet provider."
Apple Music not downloading songs,Customer's Apple Music is not downloading songs on their iPhone 11 Pro purchased in July 2020. They live in Orlando and are connected to the internet via Spectrum.,"###Human:
generate a detailed description prompt for Apple Music not downloading songs

###Assistant:
Customer's Apple Music is not downloading songs on their iPhone 11 Pro purchased in July 2020. They live in Orlando and are connected to the internet via Spectrum."
FaceTime camera not working,Customer's FaceTime camera is not working on their iPhone 12 Mini purchased in April 2022. They reside in Tampa and have Xfinity as their internet provider.,"###Human:
generate a detailed description prompt for FaceTime camera not working

###Assistant:
Customer's FaceTime camera is not working on their iPhone 12 Mini purchased in April 2022. They reside in Tampa and have Xfinity as their internet provider."
iCloud Drive not syncing with Mac,Customer's iCloud Drive is not syncing with their Macbook Air M1 purchased in May 2022. They are located in Cincinnati and use Spectrum as their internet provider.,"###Human:
generate a detailed description prompt for iCloud Drive not syncing with Mac

###Assistant:
Customer's iCloud Drive is not syncing with their Macbook Air M1 purchased in May 2022. They are located in Cincinnati and use Spectrum as their internet provider."
Apple Watch not updating software,Customer's Apple Watch Series 6 purchased in August 2021 is not updating software. They reside in Pittsburgh and have Verizon Fios as their internet provider.,"###Human:
generate a detailed description prompt for Apple Watch not updating software

###Assistant:
Customer's Apple Watch Series 6 purchased in August 2021 is not updating software. They reside in Pittsburgh and have Verizon Fios as their internet provider."
iPhone unable to send or receive text messages,Customer's iPhone 12 Pro purchased in January 2023 is unable to send or receive text messages. They are located in St. Louis and use Comcast as their internet provider.,"###Human:
generate a detailed description prompt for iPhone unable to send or receive text messages

###Assistant:
Customer's iPhone 12 Pro purchased in January 2023 is unable to send or receive text messages. They are located in St. Louis and use Comcast as their internet provider."
MacBook Pro battery draining while asleep,Customer's MacBook Pro 14-inch purchased in June 2022 is experiencing battery draining while asleep. They live in New Orleans and have Cox Communications as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro battery draining while asleep

###Assistant:
Customer's MacBook Pro 14-inch purchased in June 2022 is experiencing battery draining while asleep. They live in New Orleans and have Cox Communications as their internet provider."
iPad Pro touchscreen sensitivity issues,Customer's iPad Pro 11-inch purchased in October 2021 is facing touchscreen sensitivity issues. They are located in Honolulu and have Hawaiian Telcom as their internet provider.,"###Human:
generate a detailed description prompt for iPad Pro touchscreen sensitivity issues

###Assistant:
Customer's iPad Pro 11-inch purchased in October 2021 is facing touchscreen sensitivity issues. They are located in Honolulu and have Hawaiian Telcom as their internet provider."
Apple TV audio out of sync with video,Customer's Apple TV 4K purchased in February 2022 is experiencing audio out of sync with video. They reside in Milwaukee and are connected to the internet via AT&T.,"###Human:
generate a detailed description prompt for Apple TV audio out of sync with video

###Assistant:
Customer's Apple TV 4K purchased in February 2022 is experiencing audio out of sync with video. They reside in Milwaukee and are connected to the internet via AT&T."
iTunes Store gift card balance not updating,Customer's iTunes Store gift card balance is not updating on their MacBook Pro 16-inch purchased in July 2023. They are located in Kansas City and use Spectrum as their internet provider.,"###Human:
generate a detailed description prompt for iTunes Store gift card balance not updating

###Assistant:
Customer's iTunes Store gift card balance is not updating on their MacBook Pro 16-inch purchased in July 2023. They are located in Kansas City and use Spectrum as their internet provider."
iPhone GPS not working accurately,Customer's iPhone 13 purchased in November 2023 is experiencing GPS not working accurately. They live in Los Angeles and have AT&T as their internet provider.,"###Human:
generate a detailed description prompt for iPhone GPS not working accurately

###Assistant:
Customer's iPhone 13 purchased in November 2023 is experiencing GPS not working accurately. They live in Los Angeles and have AT&T as their internet provider."
MacBook Pro screen not turning on,Customer's MacBook Pro 16-inch purchased in March 2022 is experiencing the screen not turning on. They are located in San Francisco and have Comcast as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro screen not turning on

###Assistant:
Customer's MacBook Pro 16-inch purchased in March 2022 is experiencing the screen not turning on. They are located in San Francisco and have Comcast as their internet provider."
iPad Pro not recognizing Apple Pencil,Customer's iPad Pro 12.9-inch purchased in November 2021 is not recognizing their Apple Pencil. They reside in Portland and use Comcast as their internet provider.,"###Human:
generate a detailed description prompt for iPad Pro not recognizing Apple Pencil

###Assistant:
Customer's iPad Pro 12.9-inch purchased in November 2021 is not recognizing their Apple Pencil. They reside in Portland and use Comcast as their internet provider."
Apple Watch not tracking heart rate,Customer's Apple Watch Series 6 purchased in August 2021 is not tracking heart rate. They are located in Pittsburgh and have Verizon Fios as their internet provider.,"###Human:
generate a detailed description prompt for Apple Watch not tracking heart rate

###Assistant:
Customer's Apple Watch Series 6 purchased in August 2021 is not tracking heart rate. They are located in Pittsburgh and have Verizon Fios as their internet provider."
iCloud email not syncing with Outlook,Customer's iCloud email is not syncing with Outlook on their iPhone 12 Pro Max purchased in August 2022. They reside in Sacramento and have AT&T as their internet provider.,"###Human:
generate a detailed description prompt for iCloud email not syncing with Outlook

###Assistant:
Customer's iCloud email is not syncing with Outlook on their iPhone 12 Pro Max purchased in August 2022. They reside in Sacramento and have AT&T as their internet provider."
iPhone apps crashing on launch,Customer's iPhone 12 Pro purchased in January 2023 is experiencing apps crashing on launch. They are located in St. Louis and use Comcast as their internet provider.,"###Human:
generate a detailed description prompt for iPhone apps crashing on launch

###Assistant:
Customer's iPhone 12 Pro purchased in January 2023 is experiencing apps crashing on launch. They are located in St. Louis and use Comcast as their internet provider."
MacBook Pro USB ports not working,Customer's MacBook Pro 13-inch purchased in June 2022 is experiencing USB ports not working. They reside in New Orleans and have Cox Communications as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro USB ports not working

###Assistant:
Customer's MacBook Pro 13-inch purchased in June 2022 is experiencing USB ports not working. They reside in New Orleans and have Cox Communications as their internet provider."
iPad Pro not connecting to Bluetooth accessories,Customer's iPad Pro 11-inch purchased in October 2021 is not connecting to Bluetooth accessories. They are located in Honolulu and have Hawaiian Telcom as their internet provider.,"###Human:
generate a detailed description prompt for iPad Pro not connecting to Bluetooth accessories

###Assistant:
Customer's iPad Pro 11-inch purchased in October 2021 is not connecting to Bluetooth accessories. They are located in Honolulu and have Hawaiian Telcom as their internet provider."
Apple TV apps not updating,Customer's Apple TV 4K purchased in February 2022 is experiencing issues with apps not updating. They reside in Milwaukee and are connected to the internet via AT&T.,"###Human:
generate a detailed description prompt for Apple TV apps not updating

###Assistant:
Customer's Apple TV 4K purchased in February 2022 is experiencing issues with apps not updating. They reside in Milwaukee and are connected to the internet via AT&T."
iTunes Store purchase download error,Customer's iTunes Store purchases are encountering download errors on their MacBook Pro 16-inch purchased in July 2023. They are located in Kansas City and use Spectrum as their internet provider.,"###Human:
generate a detailed description prompt for iTunes Store purchase download error

###Assistant:
Customer's iTunes Store purchases are encountering download errors on their MacBook Pro 16-inch purchased in July 2023. They are located in Kansas City and use Spectrum as their internet provider."
iPhone not vibrating for notifications,Customer's iPhone 13 purchased in November 2023 is not vibrating for notifications. They live in Los Angeles and have AT&T as their internet provider.,"###Human:
generate a detailed description prompt for iPhone not vibrating for notifications

###Assistant:
Customer's iPhone 13 purchased in November 2023 is not vibrating for notifications. They live in Los Angeles and have AT&T as their internet provider."
MacBook Pro randomly restarting,Customer's MacBook Pro 14-inch purchased in June 2023 is randomly restarting. They reside in Atlanta and have Xfinity as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro randomly restarting

###Assistant:
Customer's MacBook Pro 14-inch purchased in June 2023 is randomly restarting. They reside in Atlanta and have Xfinity as their internet provider."
iPad Pro battery percentage stuck,Customer's iPad Pro 12.9-inch purchased in November 2021 is experiencing the battery percentage being stuck. They are located in Portland and use Comcast as their internet provider.,"###Human:
generate a detailed description prompt for iPad Pro battery percentage stuck

###Assistant:
Customer's iPad Pro 12.9-inch purchased in November 2021 is experiencing the battery percentage being stuck. They are located in Portland and use Comcast as their internet provider."
Apple Watch not unlocking Mac,Customer's Apple Watch Series 7 purchased in October 2023 is not unlocking their Mac. They live in Miami and have Cox Communications as their internet provider.,"###Human:
generate a detailed description prompt for Apple Watch not unlocking Mac

###Assistant:
Customer's Apple Watch Series 7 purchased in October 2023 is not unlocking their Mac. They live in Miami and have Cox Communications as their internet provider."
MacBook Pro screen freezing randomly,Customer's MacBook Pro 16-inch purchased in March 2022 is freezing randomly. They reside in San Francisco and have Comcast as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro screen freezing randomly

###Assistant:
Customer's MacBook Pro 16-inch purchased in March 2022 is freezing randomly. They reside in San Francisco and have Comcast as their internet provider."
iPad Pro not connecting to Wi-Fi network,Customer's iPad Pro 11-inch purchased in September 2021 is not connecting to a Wi-Fi network. They are located in Denver and use AT&T as their internet provider.,"###Human:
generate a detailed description prompt for iPad Pro not connecting to Wi-Fi network

###Assistant:
Customer's iPad Pro 11-inch purchased in September 2021 is not connecting to a Wi-Fi network. They are located in Denver and use AT&T as their internet provider."
Apple Music not playing downloaded songs offline,Customer's Apple Music is not playing downloaded songs offline on their iPhone 11 Pro purchased in July 2020. They live in Orlando and are connected to the internet via Spectrum.,"###Human:
generate a detailed description prompt for Apple Music not playing downloaded songs offline

###Assistant:
Customer's Apple Music is not playing downloaded songs offline on their iPhone 11 Pro purchased in July 2020. They live in Orlando and are connected to the internet via Spectrum."
FaceTime video blurry or pixelated,Customer's FaceTime video is blurry or pixelated on their iPhone 12 purchased in November 2022. They are located in Phoenix and have Cox Communications as their internet provider.,"###Human:
generate a detailed description prompt for FaceTime video blurry or pixelated

###Assistant:
Customer's FaceTime video is blurry or pixelated on their iPhone 12 purchased in November 2022. They are located in Phoenix and have Cox Communications as their internet provider."
iCloud backup failing to complete,Customer's iCloud backup is failing to complete on their iPad Air 4 purchased in December 2022. They reside in Houston and are connected to the internet via Verizon.,"###Human:
generate a detailed description prompt for iCloud backup failing to complete

###Assistant:
Customer's iCloud backup is failing to complete on their iPad Air 4 purchased in December 2022. They reside in Houston and are connected to the internet via Verizon."
Apple Watch not tracking sleep accurately,Customer's Apple Watch Series 7 purchased in October 2023 is not tracking sleep accurately. They live in Los Angeles and have AT&T as their internet provider.,"###Human:
generate a detailed description prompt for Apple Watch not tracking sleep accurately

###Assistant:
Customer's Apple Watch Series 7 purchased in October 2023 is not tracking sleep accurately. They live in Los Angeles and have AT&T as their internet provider."
iPhone unable to make or receive calls,Customer's iPhone 11 purchased in May 2021 is unable to make or receive calls. They are located in Boston and use Comcast as their internet provider.,"###Human:
generate a detailed description prompt for iPhone unable to make or receive calls

###Assistant:
Customer's iPhone 11 purchased in May 2021 is unable to make or receive calls. They are located in Boston and use Comcast as their internet provider."
MacBook Pro stuck in boot loop,Customer's MacBook Pro 14-inch purchased in June 2023 is stuck in a boot loop. They reside in Atlanta and have Xfinity as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro stuck in boot loop

###Assistant:
Customer's MacBook Pro 14-inch purchased in June 2023 is stuck in a boot loop. They reside in Atlanta and have Xfinity as their internet provider."
iPad Pro not charging at all,Customer's iPad Pro 12.9-inch purchased in November 2021 is not charging at all. They are located in Portland and use Comcast as their internet provider.,"###Human:
generate a detailed description prompt for iPad Pro not charging at all

###Assistant:
Customer's iPad Pro 12.9-inch purchased in November 2021 is not charging at all. They are located in Portland and use Comcast as their internet provider."
Apple TV remote unresponsive after software update,Customer's Apple TV HD purchased in September 2021 has an unresponsive remote after a software update. They reside in Las Vegas and have Cox Communications as their internet provider.,"###Human:
generate a detailed description prompt for Apple TV remote unresponsive after software update

###Assistant:
Customer's Apple TV HD purchased in September 2021 has an unresponsive remote after a software update. They reside in Las Vegas and have Cox Communications as their internet provider."
iTunes Store app crashing on launch,Customer's iTunes Store app is crashing on launch on their iPhone 12 Pro Max purchased in August 2022. They are located in Minneapolis and use CenturyLink as their internet provider.,"###Human:
generate a detailed description prompt for iTunes Store app crashing on launch

###Assistant:
Customer's iTunes Store app is crashing on launch on their iPhone 12 Pro Max purchased in August 2022. They are located in Minneapolis and use CenturyLink as their internet provider."
iPhone unable to connect to Bluetooth devices,Customer's iPhone SE 2nd Gen purchased in January 2022 is unable to connect to Bluetooth devices. They live in Houston and are connected to the internet via Verizon.,"###Human:
generate a detailed description prompt for iPhone unable to connect to Bluetooth devices

###Assistant:
Customer's iPhone SE 2nd Gen purchased in January 2022 is unable to connect to Bluetooth devices. They live in Houston and are connected to the internet via Verizon."
MacBook Pro battery draining fast after update,Customer's MacBook Pro 13-inch purchased in March 2022 is experiencing fast battery draining after a software update. They reside in Austin and have Spectrum as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro battery draining fast after update

###Assistant:
Customer's MacBook Pro 13-inch purchased in March 2022 is experiencing fast battery draining after a software update. They reside in Austin and have Spectrum as their internet provider."
iPad Pro screen showing discoloration,Customer's iPad Pro 11-inch purchased in April 2022 is showing discoloration on the screen. They are located in San Antonio and use Verizon Fios as their internet provider.,"###Human:
generate a detailed description prompt for iPad Pro screen showing discoloration

###Assistant:
Customer's iPad Pro 11-inch purchased in April 2022 is showing discoloration on the screen. They are located in San Antonio and use Verizon Fios as their internet provider."
Apple TV not responding to remote commands,Customer's Apple TV 4K purchased in February 2022 is not responding to remote commands. They reside in Milwaukee and are connected to the internet via AT&T.,"###Human:
generate a detailed description prompt for Apple TV not responding to remote commands

###Assistant:
Customer's Apple TV 4K purchased in February 2022 is not responding to remote commands. They reside in Milwaukee and are connected to the internet via AT&T."
iTunes Store purchase not showing up in library,Customer's iTunes Store purchase is not showing up in their library on their MacBook Pro 16-inch purchased in July 2023. They are located in Kansas City and use Spectrum as their internet provider.,"###Human:
generate a detailed description prompt for iTunes Store purchase not showing up in library

###Assistant:
Customer's iTunes Store purchase is not showing up in their library on their MacBook Pro 16-inch purchased in July 2023. They are located in Kansas City and use Spectrum as their internet provider."
iPhone microphone not working during calls,Customer's iPhone 13 Pro purchased in December 2022 is experiencing the microphone not working during calls. They live in Sacramento and have AT&T as their internet provider.,"###Human:
generate a detailed description prompt for iPhone microphone not working during calls

###Assistant:
Customer's iPhone 13 Pro purchased in December 2022 is experiencing the microphone not working during calls. They live in Sacramento and have AT&T as their internet provider."
MacBook Pro trackpad physically stuck,Customer's MacBook Pro 13-inch purchased in April 2021 has a physically stuck trackpad. They reside in San Antonio and have Verizon Fios as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro trackpad physically stuck

###Assistant:
Customer's MacBook Pro 13-inch purchased in April 2021 has a physically stuck trackpad. They reside in San Antonio and have Verizon Fios as their internet provider."
iPad Pro screen brightness adjusting randomly,Customer's iPad Pro 12.9-inch purchased in November 2021 is experiencing random screen brightness adjustments. They are located in Portland and use Comcast as their internet provider.,"###Human:
generate a detailed description prompt for iPad Pro screen brightness adjusting randomly

###Assistant:
Customer's iPad Pro 12.9-inch purchased in November 2021 is experiencing random screen brightness adjustments. They are located in Portland and use Comcast as their internet provider."
Apple Music playlist disappearing,Customer's Apple Music playlist is disappearing from their library on their iPhone 11 Pro purchased in July 2020. They live in Orlando and are connected to the internet via Spectrum.,"###Human:
generate a detailed description prompt for Apple Music playlist disappearing

###Assistant:
Customer's Apple Music playlist is disappearing from their library on their iPhone 11 Pro purchased in July 2020. They live in Orlando and are connected to the internet via Spectrum."
FaceTime calls not going through,Customer's FaceTime calls are not going through on their iPhone 12 Mini purchased in April 2022. They reside in Tampa and have Xfinity as their internet provider.,"###Human:
generate a detailed description prompt for FaceTime calls not going through

###Assistant:
Customer's FaceTime calls are not going through on their iPhone 12 Mini purchased in April 2022. They reside in Tampa and have Xfinity as their internet provider."
iCloud Drive files not accessible on iPhone,Customer's iCloud Drive files are not accessible on their iPhone 12 Pro Max purchased in August 2022. They are located in Cincinnati and use Spectrum as their internet provider.,"###Human:
generate a detailed description prompt for iCloud Drive files not accessible on iPhone

###Assistant:
Customer's iCloud Drive files are not accessible on their iPhone 12 Pro Max purchased in August 2022. They are located in Cincinnati and use Spectrum as their internet provider."
Apple Watch not syncing with iPhone Health app,Customer's Apple Watch Series 6 purchased in August 2021 is not syncing with the iPhone Health app. They reside in Pittsburgh and have Verizon Fios as their internet provider.,"###Human:
generate a detailed description prompt for Apple Watch not syncing with iPhone Health app

###Assistant:
Customer's Apple Watch Series 6 purchased in August 2021 is not syncing with the iPhone Health app. They reside in Pittsburgh and have Verizon Fios as their internet provider."
iPhone not receiving group text messages,Customer's iPhone 12 Pro purchased in January 2023 is not receiving group text messages. They are located in St. Louis and use Comcast as their internet provider.,"###Human:
generate a detailed description prompt for iPhone not receiving group text messages

###Assistant:
Customer's iPhone 12 Pro purchased in January 2023 is not receiving group text messages. They are located in St. Louis and use Comcast as their internet provider."
MacBook Pro overheating during video calls,Customer's MacBook Pro 14-inch purchased in June 2022 is overheating during video calls. They live in New Orleans and have Cox Communications as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro overheating during video calls

###Assistant:
Customer's MacBook Pro 14-inch purchased in June 2022 is overheating during video calls. They live in New Orleans and have Cox Communications as their internet provider."
iPad Pro touchscreen unresponsive in certain areas,Customer's iPad Pro 11-inch purchased in October 2021 has an unresponsive touchscreen in certain areas. They are located in Honolulu and have Hawaiian Telcom as their internet provider.,"###Human:
generate a detailed description prompt for iPad Pro touchscreen unresponsive in certain areas

###Assistant:
Customer's iPad Pro 11-inch purchased in October 2021 has an unresponsive touchscreen in certain areas. They are located in Honolulu and have Hawaiian Telcom as their internet provider."
Apple TV not connecting to Bluetooth headphones,Customer's Apple TV 4K purchased in February 2022 is not connecting to Bluetooth headphones. They reside in Milwaukee and are connected to the internet via AT&T.,"###Human:
generate a detailed description prompt for Apple TV not connecting to Bluetooth headphones

###Assistant:
Customer's Apple TV 4K purchased in February 2022 is not connecting to Bluetooth headphones. They reside in Milwaukee and are connected to the internet via AT&T."
iTunes Store download stuck in processing,Customer's iTunes Store purchase download is stuck in processing on their MacBook Pro 16-inch purchased in July 2023. They are located in Kansas City and use Spectrum as their internet provider.,"###Human:
generate a detailed description prompt for iTunes Store download stuck in processing

###Assistant:
Customer's iTunes Store purchase download is stuck in processing on their MacBook Pro 16-inch purchased in July 2023. They are located in Kansas City and use Spectrum as their internet provider."
iPhone GPS showing incorrect location,Customer's iPhone 13 purchased in November 2023 is showing incorrect GPS location. They live in Los Angeles and have AT&T as their internet provider.,"###Human:
generate a detailed description prompt for iPhone GPS showing incorrect location

###Assistant:
Customer's iPhone 13 purchased in November 2023 is showing incorrect GPS location. They live in Los Angeles and have AT&T as their internet provider."
MacBook Pro screen flickering after sleep mode,Customer's MacBook Pro 16-inch purchased in March 2022 is experiencing screen flickering after sleep mode. They are located in San Francisco and have Comcast as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro screen flickering after sleep mode

###Assistant:
Customer's MacBook Pro 16-inch purchased in March 2022 is experiencing screen flickering after sleep mode. They are located in San Francisco and have Comcast as their internet provider."
iPad Pro Apple Pencil not pairing,Customer's iPad Pro 12.9-inch purchased in November 2021 is not pairing with their Apple Pencil. They reside in Portland and use Comcast as their internet provider.,"###Human:
generate a detailed description prompt for iPad Pro Apple Pencil not pairing

###Assistant:
Customer's iPad Pro 12.9-inch purchased in November 2021 is not pairing with their Apple Pencil. They reside in Portland and use Comcast as their internet provider."
Apple Watch not registering workouts,Customer's Apple Watch Series 7 purchased in October 2023 is not registering workouts. They live in Miami and have Cox Communications as their internet provider.,"###Human:
generate a detailed description prompt for Apple Watch not registering workouts

###Assistant:
Customer's Apple Watch Series 7 purchased in October 2023 is not registering workouts. They live in Miami and have Cox Communications as their internet provider."
iCloud email not syncing with Gmail,Customer's iCloud email is not syncing with Gmail on their iPhone 12 Pro Max purchased in August 2022. They reside in Sacramento and have AT&T as their internet provider.,"###Human:
generate a detailed description prompt for iCloud email not syncing with Gmail

###Assistant:
Customer's iCloud email is not syncing with Gmail on their iPhone 12 Pro Max purchased in August 2022. They reside in Sacramento and have AT&T as their internet provider."
iPhone apps crashing randomly,Customer's iPhone 12 purchased in August 2022 is experiencing apps crashing randomly. They are located in Salt Lake City and use Comcast as their internet provider.,"###Human:
generate a detailed description prompt for iPhone apps crashing randomly

###Assistant:
Customer's iPhone 12 purchased in August 2022 is experiencing apps crashing randomly. They are located in Salt Lake City and use Comcast as their internet provider."
MacBook Pro USB-C ports not working,Customer's MacBook Pro 13-inch purchased in June 2022 has USB-C ports not working. They reside in New Orleans and have Cox Communications as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro USB-C ports not working

###Assistant:
Customer's MacBook Pro 13-inch purchased in June 2022 has USB-C ports not working. They reside in New Orleans and have Cox Communications as their internet provider."
